state_county_name,precipitation_in,rain_days,usgs_runoff_in
Illinois-Livingston,35.01,97.9,11
Illinois-Logan,35.01,97.1,9
Illinois-Macon,35.01,97,9
Illinois-Macoupin,35.01,96.3,9
Illinois-Madison,35.01,96.2,9
Illinois-Marion,44.99,97.8,10
Illinois-Marshall,35.01,97.8,9
Illinois-Mason,35.01,97.7,9
Illinois-Massac,45,100.7,16
Illinois-McDonough,35.01,91.9,9
Illinois-McHenry,35.01,100.6,9
Illinois-McLean,35.01,97.6,11
Illinois-Menard,35.01,97.8,9
Illinois-Mercer,35.01,97.8,9
Illinois-Monroe,41.04,92.1,9
Illinois-Montgomery,36.17,95.5,9
Illinois-Morgan,35.01,97.5,9
Illinois-Moultrie,35.01,97.8,9.5
Illinois-Ogle,35.01,98,9
Illinois-Peoria,35.01,97.8,9
Illinois-Perry,45,97.8,10
Illinois-Piatt,35.01,97.6,9
Illinois-Pike,35.01,97.7,9
Illinois-Pope,45,97.8,15.667
Illinois-Pulaski,45,97.8,16
Illinois-Putnam,35.01,95,9
Illinois-Randolph,45,92.7,10
Illinois-Richland,45,97.8,12
Illinois-Rock Island,35.01,97.8,9
Illinois-Saline,45,97.8,14
Illinois-Sangamon,35.01,97.8,9
Illinois-Schuyler,35.01,83.3,9
Illinois-Scott,35.01,97.8,9
Illinois-Shelby,35.1,97.4,9.5
Illinois-St. Clair,36.37,88.8,9
Illinois-Stark,35.01,97.8,9
Illinois-Stephenson,35.01,97.8,9
Illinois-Tazewell,35.01,97.9,9
Illinois-Union,45,97.8,14.5
Illinois-Vermilion,35.03,101.6,10
Illinois-Wabash,45,97.8,14
Illinois-Warren,35.01,97.2,9
Illinois-Washington,40.61,97.8,10
Illinois-Wayne,45,97.6,11
Illinois-White,45,97.8,13.333
Illinois-Whiteside,35.01,97.9,9
Illinois-Will,35.01,103.5,11
Illinois-Williamson,45,97.8,13
Illinois-Winnebago,35.01,99.2,9
Illinois-Woodford,35.01,97.8,9
Indiana-Adams,35.01,111.9,10
Indiana-Allen,35.01,110.2,10
Indiana-Bartholomew,45,112.5,14.5
Indiana-Benton,35.01,112.5,11
Indiana-Blackford,35.01,112.5,12
Indiana-Boone,39.76,112.5,12
Indiana-Brown,45,112.2,14.5
Indiana-Carroll,35.01,112.5,12
Indiana-Cass,35.01,112.5,12
Indiana-Clark,45,108.1,18
Indiana-Clay,45,97.8,13
Indiana-Clinton,35.01,112.5,12
Indiana-Crawford,45,112.5,18
Indiana-Daviess,45,100.6,15
Indiana-De Kalb,35.01,112.5,10
Indiana-Dearborn,45,112.5,15
Indiana-Decatur,45,112.5,14
Indiana-Delaware,35.01,112.5,12
Indiana-Dubois,45,111.6,15.5
Indiana-Elkhart,35.01,114.4,12
Indiana-Fayette,45,112.5,13.5
Indiana-Floyd,45,112.3,15
Indiana-Fountain,36.88,103.9,12
Indiana-Franklin,45,117.2,14
Indiana-Fulton,35.01,112.5,12
Indiana-Gibson,45,98.3,14.333
Indiana-Grant,35.01,112.5,12
Indiana-Greene,45,100.5,14
Indiana-Hamilton,35.8,110.6,13
Indiana-Hancock,44.35,112.4,12
Indiana-Harrison,45,112.5,18
Indiana-Hendricks,45,112.5,12
Indiana-Henry,38.77,111.3,13
Indiana-Howard,35.01,112.5,12
Indiana-Huntington,35.01,112.5,10
Indiana-Jackson,45,112.5,15
Indiana-Jasper,35.01,108.6,12
Indiana-Jay,35.01,112.5,12
Indiana-Jefferson,45,112.5,16
Indiana-Jennings,45,112.5,15
Indiana-Johnson,44.7,112.5,14
Indiana-Knox,45,98.1,14
Indiana-Kosciusko,35.01,112,12
Indiana-La Porte,35.01,122.9,11
Indiana-Lagrange,35.01,112.5,12
Indiana-Lake,35.01,112.5,12
Indiana-Lawrence,45,110,15
Indiana-Madison,35.01,112.2,12
Indiana-Marion,39.03,112.2,12
Indiana-Marshall,35.01,112.5,12
Indiana-Martin,45,110.4,15
Indiana-Miami,35.01,112.5,12
Indiana-Monroe,45,108.5,14.5
Indiana-Montgomery,39,110.3,12
Indiana-Morgan,45,107.3,14
Indiana-Newton,35.01,112.5,12
Indiana-Noble,35.01,112.5,10
Indiana-Ohio,45,112.5,15
Indiana-Orange,45,112.5,16
Indiana-Owen,45,106,14
Indiana-Parke,45,97.8,12
Indiana-Perry,45,112.5,18
Indiana-Pike,45,97.8,15
Indiana-Porter,35.01,110.2,11
Indiana-Posey,45,99.5,14
Indiana-Pulaski,35.01,112.5,12
Indiana-Putnam,45,107.5,12
Indiana-Randolph,35.01,111.8,13
Indiana-Ripley,45,112.5,15
Indiana-Rush,45,111.4,14
Indiana-Scott,45,108.4,16
Indiana-Shelby,45,112.5,14
Indiana-Spencer,45,105.1,18
Indiana-St. Joseph,35.01,133.1,12
Indiana-Starke,35.01,112.5,12
Indiana-Steuben,35.01,112.5,10
Indiana-Sullivan,45,98.7,12.667
Indiana-Switzerland,45,112.5,16
Indiana-Tippecanoe,35.01,112.5,12
Indiana-Tipton,35.01,112.5,12
Indiana-Union,45,120.4,12
Indiana-Vanderburgh,45,100,15
Indiana-Vermillion,41.86,98.2,10
Indiana-Vigo,45,105,12
Indiana-Wabash,35.01,112.5,12
Indiana-Warren,35.01,111.2,12
Indiana-Warrick,45,101.3,16.6
Indiana-Washington,45,112.5,17
Indiana-Wayne,38.16,112.5,13
Indiana-Wells,35.01,112.5,10
Indiana-White,35.01,112.5,12
Indiana-Whitley,35.01,113.6,10
Iowa-Adair,35.01,83,6
Iowa-Adams,35.01,83,5
Iowa-Allamakee,35.01,88.2,6
Iowa-Appanoose,35.01,84.9,7
Iowa-Audubon,35.01,83,4
Iowa-Benton,35.01,97.7,8
Iowa-Black Hawk,35.01,97.8,7
Iowa-Boone,35.01,90.6,6
Iowa-Bremer,35.01,97.8,8
Iowa-Buchanan,35.01,97.8,8
Iowa-Buena Vista,30.96,84.5,4
Iowa-Butler,35.01,84.4,7
Iowa-Calhoun,35.01,83,5
Iowa-Carroll,35.01,83,5
Iowa-Cass,35.01,83,6
Iowa-Cedar,35.01,96.9,9
Iowa-Cerro Gordo,35.01,83,5
Iowa-Cherokee,25.66,83,4
Iowa-Chickasaw,35.01,96,8
Iowa-Clarke,35.01,82.7,7
Iowa-Clay,25.01,83,4
Iowa-Clayton,35.01,88.9,9
Iowa-Clinton,35.01,97.8,9
Iowa-Crawford,33.32,83,5
Iowa-Dallas,35.01,83.7,6
Iowa-Davis,35.01,97.5,8
Iowa-Decatur,35.01,83.6,7
Iowa-Delaware,35.01,97.8,8
Iowa-Des Moines,35.01,97.8,9
Iowa-Dickinson,25.01,83,4
Iowa-Dubuque,35.01,98.9,9
Iowa-Emmet,25.01,83,4
Iowa-Fayette,35.01,94.4,8
Iowa-Floyd,35.01,91.4,7
Iowa-Franklin,35.01,83,5
Iowa-Fremont,35.01,83.1,6
Iowa-Greene,35.01,83,5
Iowa-Grundy,35.01,95.7,7
Iowa-Guthrie,35.01,83,6
Iowa-Hamilton,35.01,84.7,6
Iowa-Hancock,35.01,83,6
Iowa-Hardin,35.01,87.2,7
Iowa-Harrison,32.14,82.8,5
Iowa-Henry,35.01,97.8,9
Iowa-Howard,35.01,97.6,6
Iowa-Humboldt,35.01,83,5
Iowa-Ida,33.73,83,4
Iowa-Iowa,35.01,88.7,8
Iowa-Jackson,35.01,98,9
Iowa-Jasper,35.01,92.4,7
Iowa-Jefferson,35.01,97.8,8
Iowa-Johnson,35.01,97.8,8
Iowa-Jones,35.01,97.8,9
Iowa-Keokuk,35.01,96.9,8
Iowa-Kossuth,30.36,82.4,5
Iowa-Lee,35.01,97.8,9
Iowa-Linn,35.01,97.8,8.5
Iowa-Louisa,35.01,100,9
Iowa-Lucas,35.01,93.9,7
Iowa-Lyon,25.01,79.8,2.667
Iowa-Madison,35.01,83.3,7
Iowa-Mahaska,35.01,97.8,7.5
Iowa-Marion,35.01,92.9,6
Iowa-Marshall,35.01,86.1,7
Iowa-Mills,35.01,82.6,4
Iowa-Mitchell,35.01,91.9,7
Iowa-Monona,25.14,82.8,4
Iowa-Monroe,35.01,97.2,7.5
Iowa-Montgomery,35.01,83,6
Iowa-Muscatine,35.01,97.8,9
Iowa-O'Brien,25.01,82.6,2
Iowa-Osceola,25.01,83,3
Iowa-Page,35.01,83,6
Iowa-Palo Alto,27.75,83,5
Iowa-Plymouth,25.01,83,2.5
Iowa-Pocahontas,34.72,83,5
Iowa-Polk,35.01,90,7
Iowa-Pottawattamie,33.92,83,5
Iowa-Poweshiek,35.01,97.8,7.5
Iowa-Ringgold,35.01,83,7
Iowa-Sac,35.01,83.5,5
Iowa-Scott,35.01,97.8,9
Iowa-Shelby,35.01,88,5
Iowa-Sioux,25.01,83,2.5
Iowa-Story,35.01,83,6.5
Iowa-Tama,35.01,96.6,8
Iowa-Taylor,35.01,83,6
Iowa-Union,35.01,84,7
Iowa-Van Buren,35.01,97.2,8
Iowa-Wapello,35.01,97.8,8
Iowa-Warren,35.01,93.5,7
Iowa-Washington,35.01,97.7,8
Iowa-Wayne,35.01,89.6,7
Iowa-Webster,35.01,87.4,5
Iowa-Winnebago,35.01,84,6
Iowa-Winneshiek,35.01,84.6,8
Iowa-Woodbury,25.05,83,2.75
Iowa-Worth,35.01,83.3,6
Iowa-Wright,35.01,83,6
Kansas-Allen,42.71,81,9
Kansas-Anderson,35.88,82.4,9
Kansas-Atchison,35.01,80.5,8
Kansas-Barber,25.01,53.4,2
Kansas-Barton,25.01,62.4,1
Kansas-Bourbon,45,83,9
Kansas-Brown,35.01,83,7
Kansas-Butler,35.01,70.3,6.5
Kansas-Chase,35.01,70.6,7
Kansas-Chautauqua,35.01,78.4,7.5
Kansas-Cherokee,45,83.1,9
Kansas-Cheyenne,16.43,56.1,0.2
Kansas-Clark,25.01,45,0.5
Kansas-Clay,34.46,69.2,4.5
Kansas-Cloud,26.76,72.3,3
Kansas-Coffey,35.01,69.9,8
Kansas-Comanche,25.01,45,1
Kansas-Cowley,35.01,68.5,6
Kansas-Crawford,45,82.4,9
Kansas-Decatur,24.99,60.2,0.5
Kansas-Dickinson,34.93,75,5
Kansas-Doniphan,35.01,83,7.333
Kansas-Douglas,35.01,83,8
Kansas-Edwards,25.01,67.8,1
Kansas-Elk,35.01,81.5,8
Kansas-Ellis,25.01,62.8,1
Kansas-Ellsworth,25.01,62.7,2
Kansas-Finney,17.48,45.6,0.2
Kansas-Ford,25.01,57.8,0.5
Kansas-Franklin,35.01,82.4,8
Kansas-Geary,35.01,83,5.5
Kansas-Gove,24.04,48.3,0.35
Kansas-Graham,25.01,48.7,0.5
Kansas-Grant,16,45,0.1
Kansas-Gray,24.15,45,0.15
Kansas-Greeley,16,45,0.2
Kansas-Greenwood,35.01,74.4,8
Kansas-Hamilton,16,45,0.133
Kansas-Harper,25.19,59.8,3
Kansas-Harvey,35.01,68,4.5
Kansas-Haskell,16,45,0.2
Kansas-Hodgeman,25,49.3,0.5
Kansas-Jackson,35.01,82.2,7
Kansas-Jefferson,35.01,83,8
Kansas-Jewell,25.01,68.8,2
Kansas-Johnson,35.01,82.1,9
Kansas-Kearny,16,45,0.1
Kansas-Kingman,25.02,65.7,3
Kansas-Kiowa,25.01,61.4,1
Kansas-Labette,45,83,9
Kansas-Lane,24.73,45.3,0.2
Kansas-Leavenworth,35.01,83,8
Kansas-Lincoln,25.01,65.2,2
Kansas-Linn,43.5,81.9,9
Kansas-Logan,16,47.6,0.15
Kansas-Lyon,35.01,77.6,7.5
Kansas-Marion,35.01,69.1,5.5
Kansas-Marshall,35.01,71.2,5.5
Kansas-McPherson,29.56,68.1,3.5
Kansas-Meade,24.99,45,0.5
Kansas-Miami,36.87,82.4,9
Kansas-Mitchell,25.01,65.7,2
Kansas-Montgomery,40.01,83,8
Kansas-Morris,35.01,81.9,4
Kansas-Morton,16,45,0.1
Kansas-Nemaha,35.01,79.8,6
Kansas-Neosho,45,83,7
Kansas-Ness,25.01,45.8,0.5
Kansas-Norton,25.01,61.8,1.167
Kansas-Osage,35.01,78.2,7
Kansas-Osborne,25.01,56.3,2
Kansas-Ottawa,25.63,66.3,3.5
Kansas-Pawnee,25.01,62.6,1
Kansas-Phillips,25.01,67.9,1
Kansas-Pottawatomie,35.01,75.4,6
Kansas-Pratt,25.01,68,2
Kansas-Rawlins,24.02,67.5,0.2
Kansas-Reno,26.65,68,2.5
Kansas-Republic,27.67,70.8,3
Kansas-Rice,25.01,60.9,2
Kansas-Riley,35.01,77,5.5
Kansas-Rooks,25.01,65,1
Kansas-Rush,25.01,59.9,1
Kansas-Russell,25.01,66.9,1
Kansas-Saline,27.4,67.6,3.5
Kansas-Scott,18.62,50.9,0.15
Kansas-Sedgwick,33.69,68.1,4.5
Kansas-Seward,16.74,45,0.2
Kansas-Shawnee,35.01,83,7
Kansas-Sheridan,23.57,58.1,0.5
Kansas-Sherman,16,60.1,0.1
Kansas-Smith,25.01,64.8,2
Kansas-Stafford,25.01,68,1.5
Kansas-Stanton,16,45,0.1
Kansas-Stevens,16,45,0.2
Kansas-Sumner,34.21,67.9,4.5
Kansas-Thomas,16,61.9,0.15
Kansas-Trego,25.01,49.9,0.5
Kansas-Wabaunsee,35.01,81,4
Kansas-Wallace,16,46.9,0.2
Kansas-Washington,34.62,70.7,4
Kansas-Wichita,16,45,0.133
Kansas-Wilson,37.36,81.5,7
Kansas-Woodson,38.83,78.6,8
Kansas-Wyandotte,35.01,82.2,9
Kentucky-Adair,60,112.1,22
Kentucky-Allen,60,112.3,21
Kentucky-Anderson,45,112.5,16
Kentucky-Ballard,45,97.8,18
Kentucky-Barren,60,112.5,21
Kentucky-Bath,45,112.5,15.5
Kentucky-Bell,60,135,25.5
Kentucky-Boone,45,112.2,15
Kentucky-Bourbon,45,112.5,18
Kentucky-Boyd,45,134.4,15.667
Kentucky-Boyle,45.97,112.4,20
Kentucky-Bracken,45,113.3,16
Kentucky-Breathitt,45,112.5,19
Kentucky-Breckinridge,45.07,111.7,15
Kentucky-Bullitt,45,113.1,15
Kentucky-Butler,49.19,112.5,18
Kentucky-Caldwell,48.77,103.2,18
Kentucky-Calloway,60,103.6,15.5
Kentucky-Campbell,45,112.5,15
Kentucky-Carlisle,51.67,97.8,18.667
Kentucky-Carroll,45,112.5,16
Kentucky-Carter,45,118.7,16
Kentucky-Casey,59.94,112.5,18
Kentucky-Christian,53.47,108.9,16.6
Kentucky-Clark,45,111.9,18
Kentucky-Clay,46.79,114.8,23
Kentucky-Clinton,60,101.3,24
Kentucky-Crittenden,45,97.8,16.667
Kentucky-Cumberland,60,98.4,22
Kentucky-Daviess,45,97.9,18
Kentucky-Edmonson,60,112.5,20
Kentucky-Elliott,45,112.5,16
Kentucky-Estill,45,111.7,16
Kentucky-Fayette,45,110.8,18
Kentucky-Fleming,45,112.5,14.5
Kentucky-Floyd,45,112.5,16
Kentucky-Franklin,45,112.5,18
Kentucky-Fulton,56.93,98,20
Kentucky-Gallatin,45,112.5,16
Kentucky-Garrard,45,103.3,20
Kentucky-Grant,45,119.6,16
Kentucky-Graves,59.89,98,20
Kentucky-Grayson,54.66,111.9,20
Kentucky-Green,60,112.2,21
Kentucky-Greenup,43.74,118.7,16
Kentucky-Hancock,45,107.5,15
Kentucky-Hardin,45.56,109.6,20
Kentucky-Harlan,57.96,130,24.429
Kentucky-Harrison,45,112.5,15.5
Kentucky-Hart,59.77,109.2,18
Kentucky-Henderson,45,99.3,15.667
Kentucky-Henry,45,112.5,18
Kentucky-Hickman,59.31,97.8,20
Kentucky-Hopkins,45,105.2,12
Kentucky-Jackson,45.15,112.5,20
Kentucky-Jefferson,45,111.6,20
Kentucky-Jessamine,45,105.9,16
Kentucky-Johnson,45,112.9,16
Kentucky-Kenton,45,112.5,15
Kentucky-Knott,45,110.9,18
Kentucky-Knox,56.57,119.8,25
Kentucky-Larue,56.95,100.9,18
Kentucky-Laurel,45.15,117.1,23.667
Kentucky-Lawrence,45,126.2,16
Kentucky-Lee,45,112.5,20
Kentucky-Leslie,47.23,117.5,22.75
Kentucky-Letcher,45.1,106.6,19.5
Kentucky-Lewis,44.89,113.7,16
Kentucky-Lincoln,55.07,107.9,18
Kentucky-Livingston,45.03,97.9,16.667
Kentucky-Logan,58.03,112.2,20
Kentucky-Lyon,49.55,97.9,18
Kentucky-Madison,45,111.4,20
Kentucky-Magoffin,45,112.5,16
Kentucky-Marion,55.37,109.6,18
Kentucky-Marshall,57.2,97.8,18
Kentucky-Martin,45,123.8,16
Kentucky-Mason,45,126.6,16
Kentucky-McCracken,45.43,100.4,18
Kentucky-McCreary,58.96,112.5,25.667
Kentucky-McLean,45,103.3,15
Kentucky-Meade,45,112.5,15
Kentucky-Menifee,45.59,116.4,18
Kentucky-Mercer,45,112.4,20
Kentucky-Metcalfe,60,112.3,20
Kentucky-Monroe,60,108.5,22
Kentucky-Montgomery,45,111.9,18
Kentucky-Morgan,45,112.5,15.5
Kentucky-Muhlenberg,45,108.3,15.5
Kentucky-Nelson,45.91,111.8,20
Kentucky-Nicholas,45,112.5,15
Kentucky-Ohio,45.31,100.8,14
Kentucky-Oldham,45,110.6,18
Kentucky-Owen,45,112.5,14
Kentucky-Owsley,45,112.5,20
Kentucky-Pendleton,45,112.5,16
Kentucky-Perry,45,116.5,21
Kentucky-Pike,45,120.1,17
Kentucky-Powell,45,107,18
Kentucky-Pulaski,58.44,112.5,23.667
Kentucky-Robertson,45,112.5,15
Kentucky-Rockcastle,57.28,117.6,22
Kentucky-Rowan,45,112.5,15.5
Kentucky-Russell,60,110.5,22
Kentucky-Scott,45,107,18
Kentucky-Shelby,45,112.5,15
Kentucky-Simpson,60,100.7,20
Kentucky-Spencer,45,106.7,16
Kentucky-Taylor,60,112.5,21
Kentucky-Todd,57.37,112.5,18
Kentucky-Trigg,54.03,96.6,15.667
Kentucky-Trimble,45,112.5,16
Kentucky-Union,45,98.7,15.333
Kentucky-Warren,58.92,112.3,20
Kentucky-Washington,45,102.8,20
Kentucky-Wayne,59.57,115.1,24.667
Kentucky-Webster,45,97.8,17
Kentucky-Whitley,56.94,113,25.5
Kentucky-Wolfe,45,112.5,18
Kentucky-Woodford,45,111.1,16
Louisiana-Acadia,60,97.8,18
Louisiana-Allen,60,99.3,20
Louisiana-Ascension,60,98.2,22
Louisiana-Assumption,60,99.3,20
Louisiana-Avoyelles,60,84.9,14.5
Louisiana-Beauregard,60,96.3,15.308
Louisiana-Bienville,59.66,95.6,13
Louisiana-Bossier,49.27,85.4,14
Louisiana-Caddo,45,83.1,11.2
Louisiana-Calcasieu,60,97.8,17.333
Louisiana-Caldwell,60,97.8,14.25
Louisiana-Cameron,60,101.6,13
Louisiana-Catahoula,60,97,18
Louisiana-Claiborne,60,97.8,12
Louisiana-Concordia,60,97.8,18
Louisiana-De Soto,47.85,83,10.818
Louisiana-East Baton Rouge,60,100.4,18
Louisiana-East Carroll,60,97.7,18
Louisiana-East Feliciana,60,103.6,20
Louisiana-Evangeline,60,97.4,20
Louisiana-Franklin,60,97.8,16
Louisiana-Grant,60,97.8,16.333
Louisiana-Iberia,60,100.2,18
Louisiana-Iberville,60,98.6,18
Louisiana-Jackson,60,97.8,13
Louisiana-Jefferson,60,98,24
Louisiana-Jefferson Davis,60,97.8,20
Louisiana-La Salle,60,97.7,16.333
Louisiana-Lafayette,60,97.8,18
Louisiana-LaFourche,60,98,20
Louisiana-Lincoln,60,97.8,13
Louisiana-Livingston,60.01,111,22
Louisiana-Madison,60,97.8,17
Louisiana-Morehouse,60,86,16
Louisiana-Natchitoches,60,94.1,15.4
Louisiana-Orleans,60,97.8,24
Louisiana-Ouachita,60,95.1,14.5
Louisiana-Plaquemines,60,97.8,18
Louisiana-Pointe Coupee,60,96.9,20
Louisiana-Rapides,60,97.4,18
Louisiana-Red River,57.77,85.3,14
Louisiana-Richland,60,97.8,16
Louisiana-Sabine,59.9,83,12.333
Louisiana-St. Bernard,60,97.8,22
Louisiana-St. Charles,60,97.8,22
Louisiana-St. Helena,62.16,108.8,18
Louisiana-St. James,60,97.8,22
Louisiana-St. John the Baptist,60,97.8,24
Louisiana-St. Landry,60,98.1,20
Louisiana-St. Martin,60,100.6,21
Louisiana-St. Mary,60,112.5,18
Louisiana-St. Tammany,60,97.9,25
Louisiana-Tangipahoa,60,100.4,22
Louisiana-Tensas,60,97.8,18
Louisiana-Terrebonne,60,108.1,24
Louisiana-Union,60,89.3,14.5
Louisiana-Vermilion,60,97.8,15.4
Louisiana-Vernon,60,95.4,14.875
Louisiana-Washington,60,106.5,22
Louisiana-Webster,58.15,92.8,12
Louisiana-West Baton Rouge,60,99.1,18
Louisiana-West Carroll,60,95,18
Louisiana-West Feliciana,60,97.8,20
Louisiana-Winn,60,99.4,13
Maine-Androscoggin,45,126.6,25.5
Maine-Aroostook,38.22,135,24.25
Maine-Cumberland,45.13,112.9,25
Maine-Franklin,47.12,137.9,25.75
Maine-Hancock,45.2,115.9,26.857
Maine-Kennebec,45,113.7,25.5
Maine-Knox,45.36,112.5,25
Maine-Lincoln,45,112.5,26.333
Maine-Oxford,45.51,133.2,28
Maine-Penobscot,44.17,128.2,26.889
Maine-Piscataquis,40.71,135.4,25.833
Maine-Sagadahoc,45,112.5,26.333
Maine-Somerset,43.47,132,26.333
Maine-Waldo,45.19,110.6,25.5
Maine-Washington,45.35,121.1,28
Maine-York,45.36,113,25
Maryland-Allegany,35.01,118.2,19
Maryland-Anne Arundel,45,97.8,15.5
Maryland-Baltimore,45,110.1,16
Maryland-Baltimore City,45,99.1,16
Maryland-Calvert,45,97.8,15
Maryland-Caroline,45,97.8,16
Maryland-Carroll,45,100.1,16
Maryland-Cecil,45,101.8,16.8
Maryland-Charles,45,97.8,16
Maryland-Dorchester,45,99.9,16
Maryland-Frederick,43.99,100.6,15
Maryland-Garrett,45.26,151.8,26.5
Maryland-Harford,45,108.1,16
Maryland-Howard,45,99,16
Maryland-Kent,45,98,16
Maryland-Montgomery,44.29,97.8,19
Maryland-Prince Georges,45,98.5,15.5
Maryland-Queen Annes,45,97.8,16
Maryland-Somerset,43.84,97.6,16
Maryland-St. Marys,45,97.8,16
Maryland-Talbot,45,101.4,16
Maryland-Washington,36.11,103.1,14.2
Maryland-Wicomico,45,99.2,18.667
Maryland-Worcester,45,97.8,18
Massachusetts-Barnstable,45,105.1,22
Massachusetts-Berkshire,49.09,128.4,24.889
Massachusetts-Bristol,45,112.5,25.286
Massachusetts-Dukes,45,112.5,25.5
Massachusetts-Essex,44.97,112.4,22
Massachusetts-Franklin,45.43,118.2,25
Massachusetts-Hampden,47.52,112.3,25.286
Massachusetts-Hampshire,45.88,112.4,26.6
Massachusetts-Middlesex,45,112,23.333
Massachusetts-Nantucket,45,102.9,22
Massachusetts-Norfolk,45,110.6,25
Massachusetts-Plymouth,45,112.2,25.5
Massachusetts-Suffolk,45,112.5,24
Massachusetts-Worcester,45.19,114.9,24.667
Michigan-Alcona,25.01,117.1,12
Michigan-Alger,34.86,135,16.333
Michigan-Allegan,35.01,134.8,13.667
Michigan-Alpena,25.01,134.9,17
Michigan-Antrim,35.01,135,14.5
Michigan-Arenac,25.01,103.5,10
Michigan-Baraga,34.11,135.3,17.25
Michigan-Barry,35.01,133.3,11
Michigan-Bay,28.83,100.8,8
Michigan-Benzie,35.01,135,14.5
Michigan-Berrien,35.01,129.5,14
Michigan-Branch,35.01,127.9,10
Michigan-Calhoun,35.01,124.1,10
Michigan-Cass,35.01,126.7,13
Michigan-Charlevoix,35.01,135,14.5
Michigan-Cheboygan,32.9,133.4,12
Michigan-Chippewa,33.6,132.7,18
Michigan-Clare,34.94,112.7,12
Michigan-Clinton,35.01,112.3,8.667
Michigan-Crawford,34.47,135,12
Michigan-Delta,31.97,123.9,14.25
Michigan-Dickinson,30.28,122.2,14
Michigan-Eaton,35.01,113.2,9
Michigan-Emmet,33.42,135,13
Michigan-Genesee,32.63,113.1,10
Michigan-Gladwin,32.61,108.9,10
Michigan-Gogebic,35.01,135.6,14
Michigan-Grand Traverse,35.01,135,15.5
Michigan-Gratiot,35.01,112.5,9
Michigan-Hillsdale,35.01,120.9,10
Michigan-Houghton,33.93,140.4,17.25
Michigan-Huron,32.32,125.1,8
Michigan-Ingham,35.01,110.8,8.667
Michigan-Ionia,35.01,113.2,9
Michigan-Iosco,25.01,109.9,10
Michigan-Iron,33.37,130.9,14.5
Michigan-Isabella,35.01,112.5,14.5
Michigan-Jackson,35.01,112.5,8.667
Michigan-Kalamazoo,35.01,135,12
Michigan-Kalkaska,35.01,135,14.5
Michigan-Kent,35.01,132.8,12
Michigan-Keweenaw,34.32,138.7,14
Michigan-Lake,35.01,135,14.5
Michigan-Lapeer,26.78,112.5,8
Michigan-Leelanau,35.01,135,16
Michigan-Lenawee,35.01,112.5,10
Michigan-Livingston,35.01,109.5,8
Michigan-Luce,35,135,18
Michigan-Mackinac,34.67,135,17
Michigan-Macomb,35.01,112.5,8.667
Michigan-Manistee,35.01,135,16
Michigan-Marquette,35.01,135,15
Michigan-Mason,35.01,127.9,15
Michigan-Mecosta,35.01,123.6,12
Michigan-Menominee,34.94,115.6,12
Michigan-Midland,32.19,106.3,9
Michigan-Missaukee,30.94,131.5,13
Michigan-Monroe,35.01,112.4,9
Michigan-Montcalm,35.01,115.8,11
Michigan-Montmorency,26.29,135,12
Michigan-Muskegon,35.01,132.3,14.5
Michigan-Newaygo,35.01,135,14
Michigan-Oakland,35.01,112.5,9
Michigan-Oceana,35.01,131.6,15
Michigan-Ogemaw,25.88,112.5,12
Michigan-Ontonagon,34.93,138.7,17.25
Michigan-Osceola,35.01,121.9,13
Michigan-Oscoda,25.21,122,13
Michigan-Otsego,35.01,135.2,12
Michigan-Ottawa,35.01,135,14.8
Michigan-Presque Isle,28.86,135,17
